File Name,Class,Vertex Count,Face Count,Face Type,Edge Count,Bounding Box Size
1.off,,4706,9408,Triangles,14112,"(0.7, 0.3, 1.8)"
10.off,,9508,19012,Triangles,28518,"(0.4, 1.9, 1.0)"
100.off,,8064,16124,Triangles,24186,"(0.8, 1.7, 1.1)"
101.off,,8499,16998,Triangles,25497,"(0.8, 1.6, 0.8)"
102.off,,15724,31456,Triangles,47184,"(1.2, 1.6, 1.2)"
103.off,,9652,19304,Triangles,28956,"(0.8, 1.7, 0.9)"
104.off,,8653,17306,Triangles,25959,"(0.7, 0.7, 1.7)"
105.off,,9261,18530,Triangles,27795,"(0.7, 0.6, 1.7)"
106.off,,14052,28104,Triangles,42156,"(1.1, 0.9, 1.5)"
107.off,,11421,22854,Triangles,34281,"(1.1, 1.8, 1.1)"
109.off,,10301,20602,Triangles,30903,"(0.9, 1.4, 0.9)"
11.off,,10999,21994,Triangles,32991,"(1.7, 0.4, 1.8)"
110.off,,8456,16920,Triangles,25380,"(0.7, 1.6, 0.7)"
111.off,,8050,16100,Triangles,24150,"(0.7, 1.7, 0.7)"
112.off,,13628,27256,Triangles,40884,"(0.8, 1.4, 1.0)"
113.off,,10748,21500,Triangles,32250,"(0.8, 1.5, 0.9)"
115.off,,10043,20086,Triangles,30129,"(0.8, 1.5, 0.9)"
116.off,,13463,26926,Triangles,40389,"(1.0, 1.6, 1.0)"
12.off,,5614,11224,Triangles,16836,"(1.7, 0.4, 1.8)"
120.off,,10121,20242,Triangles,30363,"(0.8, 1.7, 0.8)"
121.off,,5944,11888,Triangles,17832,"(2.0, 1.5, 0.6)"
122.off,,7251,14498,Triangles,21747,"(1.8, 1.5, 0.7)"
123.off,,15493,30982,Triangles,46473,"(1.4, 1.1, 1.3)"
124.off,,3101,6198,Triangles,9297,"(1.4, 1.8, 0.7)"
125.off,,1343,2682,Triangles,4023,"(1.0, 0.9, 1.1)"
126.off,,6325,12646,Triangles,18969,"(0.9, 1.7, 1.7)"
128.off,,6164,12324,Triangles,18486,"(1.3, 0.6, 1.7)"
129.off,,6144,12284,Triangles,18426,"(1.8, 1.6, 0.8)"
13.off,,13703,27402,Triangles,41103,"(0.8, 2.0, 0.7)"
130.off,,7747,15490,Triangles,23235,"(1.5, 1.7, 0.8)"
131.off,,11051,22098,Triangles,33147,"(1.1, 1.5, 1.5)"
132.off,,7812,15620,Triangles,23430,"(0.5, 0.6, 1.9)"
133.off,,10466,20932,Triangles,31398,"(1.0, 1.6, 1.3)"
134.off,,10932,21860,Triangles,32790,"(1.3, 1.7, 1.1)"
135.off,,15201,30398,Triangles,45597,"(1.1, 1.5, 1.2)"
136.off,,14126,28248,Triangles,42372,"(1.4, 1.4, 1.0)"
137.off,,9124,18244,Triangles,27366,"(1.1, 1.3, 1.0)"
138.off,,9594,19184,Triangles,28776,"(1.6, 1.0, 1.1)"
139.off,,8017,16030,Triangles,24045,"(1.5, 1.5, 0.5)"
14.off,,5691,11378,Triangles,17067,"(1.1, 1.2, 1.0)"
140.off,,9200,18396,Triangles,27594,"(1.6, 1.6, 0.8)"
141.off,,13926,27848,Triangles,41772,"(1.7, 1.1, 0.9)"
143.off,,9270,18536,Triangles,27804,"(2.0, 0.3, 1.0)"
144.off,,15082,30160,Triangles,45240,"(2.0, 0.4, 1.6)"
145.off,,13206,26408,Triangles,39612,"(1.3, 1.0, 1.3)"
146.off,,13714,27424,Triangles,41136,"(1.4, 1.0, 1.4)"
147.off,,13705,27406,Triangles,41109,"(1.6, 0.7, 1.6)"
148.off,,13375,26746,Triangles,40119,"(2.0, 0.6, 2.0)"
149.off,,13588,27172,Triangles,40758,"(2.0, 0.6, 2.0)"
15.off,,5631,11258,Triangles,16887,"(0.6, 1.5, 0.8)"
150.off,,13579,27154,Triangles,40731,"(0.9, 1.1, 0.9)"
151.off,,12696,25388,Triangles,38082,"(1.3, 0.6, 1.3)"
152.off,,10543,21082,Triangles,31623,"(0.6, 0.7, 1.6)"
155.off,,14384,28764,Triangles,43146,"(1.9, 0.9, 1.4)"
156.off,,10100,20196,Triangles,30294,"(1.7, 0.7, 1.4)"
157.off,,13883,27762,Triangles,41643,"(1.9, 0.8, 1.9)"
158.off,,14587,29170,Triangles,43755,"(1.3, 1.0, 1.4)"
159.off,,13930,27856,Triangles,41784,"(1.3, 1.5, 0.6)"
16.off,,15223,30450,Triangles,45675,"(0.8, 1.7, 0.9)"
160.off,,10082,20160,Triangles,30240,"(1.1, 1.5, 0.5)"
161.off,,13826,27648,Triangles,41472,"(1.4, 1.7, 0.7)"
162.off,,10096,20188,Triangles,30282,"(1.0, 1.9, 0.9)"
163.off,,10879,21758,Triangles,32637,"(1.2, 1.9, 0.8)"
164.off,,14509,29014,Triangles,43521,"(1.3, 1.7, 0.8)"
165.off,,10233,20462,Triangles,30693,"(1.0, 1.9, 0.8)"
166.off,,11090,22176,Triangles,33264,"(1.3, 1.8, 0.9)"
167.off,,12647,25290,Triangles,37935,"(1.2, 1.7, 0.9)"
168.off,,10752,21500,Triangles,32250,"(1.2, 1.8, 0.7)"
169.off,,12561,25118,Triangles,37677,"(1.6, 1.8, 0.6)"
17.off,,15910,31816,Triangles,47724,"(1.0, 1.7, 0.9)"
170.off,,12500,24996,Triangles,37494,"(1.5, 1.7, 0.6)"
171.off,,14905,29806,Triangles,44709,"(1.1, 1.8, 0.9)"
172.off,,10141,20278,Triangles,30417,"(1.0, 1.9, 1.0)"
173.off,,13867,27730,Triangles,41595,"(0.9, 1.6, 0.9)"
174.off,,12831,25658,Triangles,38487,"(1.3, 1.8, 0.7)"
175.off,,9480,18956,Triangles,28434,"(1.2, 1.9, 0.8)"
176.off,,12500,24996,Triangles,37494,"(1.4, 1.6, 0.9)"
177.off,,12543,25082,Triangles,37623,"(1.2, 1.7, 0.9)"
178.off,,12175,24346,Triangles,36519,"(1.1, 1.6, 0.9)"
179.off,,13324,26644,Triangles,39966,"(1.3, 1.7, 0.9)"
18.off,,15385,30766,Triangles,46149,"(1.0, 1.7, 1.0)"
180.off,,9548,19092,Triangles,28638,"(1.2, 1.8, 0.6)"
181.off,,7242,14480,Triangles,21720,"(0.9, 0.7, 1.9)"
182.off,,10283,20562,Triangles,30843,"(0.9, 1.9, 1.0)"
183.off,,11413,22822,Triangles,34233,"(1.7, 1.9, 0.6)"
184.off,,4685,9366,Triangles,14049,"(0.7, 0.9, 1.7)"
185.off,,2489,4974,Triangles,7461,"(1.0, 0.4, 1.7)"
186.off,,6607,13210,Triangles,19815,"(1.0, 0.6, 1.8)"
187.off,,7628,15256,Triangles,22884,"(0.9, 0.7, 1.9)"
188.off,,8603,17202,Triangles,25803,"(1.2, 1.8, 1.2)"
189.off,,14084,28164,Triangles,42246,"(1.2, 1.4, 1.2)"
19.off,,15477,30950,Triangles,46425,"(0.9, 2.0, 0.8)"
190.off,,7500,14996,Triangles,22494,"(1.2, 1.6, 0.5)"
191.off,,13766,27528,Triangles,41292,"(1.2, 1.8, 1.2)"
192.off,,6991,13978,Triangles,20967,"(1.2, 1.8, 0.6)"
193.off,,7314,14624,Triangles,21936,"(0.8, 1.6, 0.6)"
194.off,,8471,16938,Triangles,25407,"(0.8, 1.8, 0.7)"
195.off,,8524,17044,Triangles,25566,"(0.7, 1.7, 0.7)"
196.off,,7112,14220,Triangles,21330,"(1.2, 1.6, 0.6)"
197.off,,7553,15102,Triangles,22653,"(0.7, 1.6, 0.8)"
198.off,,9564,19124,Triangles,28686,"(0.7, 0.5, 1.9)"
199.off,,8647,17290,Triangles,25935,"(0.8, 1.9, 0.7)"
2.off,,10050,20096,Triangles,30144,"(0.3, 1.9, 1.0)"
20.off,,15700,31396,Triangles,47094,"(0.8, 1.9, 0.7)"
200.off,,1515,3026,Triangles,4539,"(1.3, 1.7, 0.6)"
201.off,,4487,8970,Triangles,13455,"(1.2, 0.2, 1.8)"
202.off,,4491,8978,Triangles,13467,"(1.2, 0.2, 1.8)"
203.off,,3906,7808,Triangles,11712,"(1.2, 0.2, 1.8)"
204.off,,4407,8810,Triangles,13215,"(1.7, 0.2, 1.4)"
205.off,,4478,8952,Triangles,13428,"(1.3, 0.2, 1.9)"
206.off,,4794,9584,Triangles,14376,"(1.3, 0.2, 1.8)"
207.off,,5202,10400,Triangles,15600,"(1.4, 0.2, 1.8)"
208.off,,6104,12204,Triangles,18306,"(1.5, 0.2, 1.6)"
209.off,,5110,10216,Triangles,15324,"(1.6, 0.2, 1.5)"
21.off,,15198,30396,Triangles,45594,"(1.7, 1.1, 1.2)"
210.off,,5508,11012,Triangles,16518,"(1.7, 0.2, 1.4)"
211.off,,4284,8564,Triangles,12846,"(1.7, 0.2, 1.4)"
212.off,,4298,8592,Triangles,12888,"(1.8, 0.2, 1.4)"
213.off,,3963,7922,Triangles,11883,"(1.2, 0.2, 1.7)"
214.off,,3804,7604,Triangles,11406,"(1.2, 0.2, 1.8)"
215.off,,4463,8922,Triangles,13383,"(1.2, 0.2, 1.9)"
216.off,,4478,8952,Triangles,13428,"(1.2, 0.2, 1.9)"
217.off,,5201,10398,Triangles,15597,"(1.3, 0.2, 1.8)"
218.off,,6198,12392,Triangles,18588,"(1.3, 0.2, 1.6)"
219.off,,3942,7880,Triangles,11820,"(1.5, 0.1, 1.6)"
22.off,,15002,30004,Triangles,45006,"(1.8, 1.3, 1.4)"
220.off,,4457,8910,Triangles,13365,"(1.6, 0.1, 1.5)"
221.off,,7121,14238,Triangles,21357,"(1.8, 0.6, 1.1)"
222.off,,5255,10506,Triangles,15759,"(1.8, 0.5, 0.7)"
223.off,,6656,13308,Triangles,19962,"(1.8, 0.8, 0.8)"
224.off,,5061,10118,Triangles,15177,"(1.8, 0.5, 0.6)"
225.off,,6076,12148,Triangles,18222,"(1.8, 0.6, 0.9)"
226.off,,5216,10428,Triangles,15642,"(1.8, 0.6, 0.6)"
227.off,,5216,10428,Triangles,15642,"(1.8, 0.6, 0.6)"
228.off,,5592,11180,Triangles,16770,"(0.5, 1.8, 0.8)"
229.off,,5245,10486,Triangles,15729,"(0.6, 0.7, 1.9)"
230.off,,7573,15142,Triangles,22713,"(1.8, 1.1, 0.6)"
231.off,,6264,12524,Triangles,18786,"(1.8, 0.7, 0.7)"
232.off,,5440,10876,Triangles,16314,"(1.8, 0.6, 0.5)"
233.off,,10186,20368,Triangles,30552,"(1.7, 1.0, 1.0)"
234.off,,7498,14992,Triangles,22488,"(1.8, 0.9, 0.8)"
235.off,,5250,10496,Triangles,15744,"(1.8, 0.6, 0.7)"
236.off,,4845,9686,Triangles,14529,"(1.8, 0.5, 0.7)"
237.off,,4439,8874,Triangles,13311,"(1.8, 0.5, 0.6)"
238.off,,5096,10188,Triangles,15282,"(1.8, 0.5, 0.7)"
239.off,,5121,10238,Triangles,15357,"(1.9, 0.7, 0.4)"
24.off,,15246,30492,Triangles,45738,"(1.8, 1.3, 1.4)"
240.off,,6833,13662,Triangles,20493,"(1.7, 0.8, 0.7)"
241.off,,3478,6952,Triangles,10428,"(1.4, 0.3, 2.0)"
242.off,,7849,15694,Triangles,23541,"(1.8, 0.8, 1.3)"
243.off,,3158,6312,Triangles,9468,"(2.0, 0.5, 0.6)"
244.off,,4501,8998,Triangles,13497,"(2.0, 0.3, 0.9)"
245.off,,6475,12946,Triangles,19419,"(1.8, 0.8, 1.3)"
246.off,,4219,8434,Triangles,12651,"(1.9, 0.5, 0.6)"
247.off,,5519,11034,Triangles,16551,"(1.9, 0.7, 1.0)"
248.off,,11790,23576,Triangles,35364,"(1.5, 1.2, 1.2)"
25.off,,15087,30170,Triangles,45255,"(1.2, 1.7, 1.1)"
250.off,,4280,8556,Triangles,12834,"(1.4, 1.9, 0.2)"
251.off,,3158,6312,Triangles,9468,"(2.0, 0.5, 0.6)"
252.off,,6351,12698,Triangles,19047,"(1.7, 0.8, 1.1)"
253.off,,6164,12324,Triangles,18486,"(1.8, 0.5, 1.6)"
255.off,,5054,10104,Triangles,15156,"(1.9, 0.5, 1.1)"
256.off,,5970,11936,Triangles,17904,"(1.7, 1.0, 1.6)"
257.off,,2135,4266,Triangles,6399,"(1.9, 0.3, 1.0)"
259.off,,9015,18026,Triangles,27039,"(1.8, 0.6, 1.6)"
26.off,,15209,30418,Triangles,45627,"(1.6, 1.0, 1.5)"
260.off,,2497,4990,Triangles,7485,"(0.9, 1.1, 1.3)"
27.off,,15137,30274,Triangles,45411,"(1.5, 1.1, 1.4)"
281.off,,25273,50542,Triangles,75813,"(1.2, 1.3, 1.1)"
282.off,,24473,48942,Triangles,73413,"(0.8, 1.6, 1.0)"
283.off,,24484,48964,Triangles,73446,"(0.9, 1.9, 0.9)"
284.off,,25494,50984,Triangles,76476,"(1.2, 1.4, 1.4)"
285.off,,25193,50382,Triangles,75573,"(1.0, 1.6, 1.4)"
286.off,,25108,50212,Triangles,75318,"(1.3, 1.3, 1.3)"
287.off,,25491,50978,Triangles,76467,"(1.3, 1.5, 1.4)"
288.off,,20000,39996,Triangles,59994,"(1.5, 1.5, 1.4)"
289.off,,25211,50418,Triangles,75627,"(1.8, 1.5, 1.5)"
29.off,,15127,30254,Triangles,45381,"(1.6, 1.0, 1.3)"
290.off,,25431,50858,Triangles,76287,"(1.1, 1.5, 1.2)"
291.off,,24615,49226,Triangles,73839,"(0.9, 1.9, 0.9)"
292.off,,21774,43544,Triangles,65316,"(1.3, 1.3, 1.2)"
293.off,,15000,29996,Triangles,44994,"(0.9, 1.6, 1.0)"
294.off,,16501,32998,Triangles,49497,"(0.7, 1.9, 0.9)"
295.off,,16780,33556,Triangles,50334,"(1.1, 1.4, 1.1)"
296.off,,15832,31660,Triangles,47490,"(0.9, 1.6, 1.3)"
297.off,,15315,30626,Triangles,45939,"(1.4, 1.1, 1.3)"
298.off,,15000,29996,Triangles,44994,"(1.3, 1.5, 1.4)"
299.off,,17117,34230,Triangles,51345,"(1.5, 1.5, 1.4)"
3.off,,5641,11278,Triangles,16917,"(0.5, 1.5, 0.7)"
30.off,,15006,30008,Triangles,45012,"(1.1, 1.4, 1.1)"
300.off,,17453,34902,Triangles,52353,"(1.8, 1.4, 1.5)"
301.off,,9252,18500,Triangles,27750,"(1.0, 1.9, 0.8)"
302.off,,25125,50246,Triangles,75369,"(1.4, 1.7, 1.0)"
303.off,,15516,31028,Triangles,46542,"(1.2, 1.3, 1.0)"
304.off,,25467,50930,Triangles,76395,"(1.9, 1.0, 0.8)"
305.off,,27824,55644,Triangles,83466,"(1.6, 1.7, 1.2)"
306.off,,26798,53592,Triangles,80388,"(1.2, 1.7, 1.0)"
307.off,,27439,54874,Triangles,82311,"(1.8, 1.7, 1.7)"
308.off,,23976,47948,Triangles,71922,"(1.7, 1.8, 1.5)"
309.off,,5197,10390,Triangles,15585,"(1.1, 1.2, 1.4)"
31.off,,15227,30454,Triangles,45681,"(1.8, 1.6, 1.3)"
310.off,,8263,16522,Triangles,24783,"(1.8, 1.8, 1.3)"
311.off,,25230,50456,Triangles,75684,"(1.1, 1.8, 1.3)"
312.off,,26985,53966,Triangles,80949,"(1.7, 1.5, 1.1)"
313.off,,10852,21700,Triangles,32550,"(1.3, 1.7, 1.3)"
314.off,,26437,52870,Triangles,79305,"(1.5, 1.6, 0.8)"
315.off,,25768,51532,Triangles,77298,"(1.1, 1.6, 1.4)"
316.off,,23395,46786,Triangles,70179,"(1.2, 1.6, 1.4)"
317.off,,27726,55448,Triangles,83172,"(1.1, 1.8, 1.3)"
318.off,,25145,50286,Triangles,75429,"(1.0, 1.4, 1.5)"
319.off,,26558,53112,Triangles,79668,"(1.9, 1.1, 1.2)"
32.off,,14751,29502,Triangles,44253,"(1.5, 1.3, 1.1)"
